"","Group.1","Group.2","Group.3","x"
"310",2011,"June",3,750.03431372549
"311",2012,"June",3,399.833333333333
"312",2013,"June",3,583.823529411765
"313",2014,"June",3,537.239898989899
"314",2015,"June",3,589.334349593496
"315",2016,"June",3,690.93507751938
"316",2017,"June",3,565.43201754386
"317",2018,"June",3,450.098958333333
"318",2019,"June",3,446.193108974359
"319",2010,"March",3,723.009259259259
"320",2011,"March",3,744.4609375
"321",2012,"March",3,499.391203703704
"322",2013,"March",3,498.960648148148
"323",2014,"March",3,658.405913978495
"324",2015,"March",3,696.586805555556
"325",2016,"March",3,707.129740518962
"326",2017,"March",3,701.605769230769
"327",2018,"March",3,609.942708333333
"328",2019,"March",3,359.085833333333
"329",2009,"May",3,475.144444444444
"330",2010,"May",3,639.19212962963
"331",2011,"May",3,653.117647058824
"332",2012,"May",3,664.474537037037
"333",2013,"May",3,767.023148148148
"334",2014,"May",3,533.502777777778
"335",2015,"May",3,496.513157894737
"336",2016,"May",3,610.427579365079
"337",2017,"May",3,613.5625
"338",2018,"May",3,639.918402777778
"339",2019,"May",3,711.044117647059
"340",2009,"November",3,322.6875
"341",2010,"November",3,665.424019607843
"342",2011,"November",3,616.377450980392
"343",2012,"November",3,515.298611111111
"344",2013,"November",3,421.759722222222
"345",2014,"November",3,703.613636363636
"346",2015,"November",3,422.168803418803
"347",2016,"November",3,667.182692307692
"348",2017,"November",3,726.289855072464
"349",2018,"November",3,503.359477124183
"350",2009,"October",3,624.474537037037
"351",2010,"October",3,488.531862745098
"352",2011,"October",3,664.691176470588
"353",2012,"October",3,768.486111111111
"354",2013,"October",3,700.663580246914
"355",2014,"October",3,757.112373737374
"356",2015,"October",3,564.877083333333
"357",2016,"October",3,550.480208333333
"358",2017,"October",3,648.298148148148
"359",2018,"October",3,637.81891025641
"360",2009,"September",3,658.389705882353
"361",2010,"September",3,785.338383838384
"362",2011,"September",3,505.343137254902
"363",2012,"September",3,669.0625
"364",2013,"September",3,653.534722222222
"365",2014,"September",3,584.041666666667
"366",2015,"September",3,597.492708333333
"367",2016,"September",3,593.137896825397
"368",2017,"September",3,419.840447154472
"369",2018,"September",3,579.46160130719
"370",2010,"April",4,478.106481481481
"371",2011,"April",4,635.81862745098
"372",2012,"April",4,799.553240740741
"373",2013,"April",4,745.354166666667
"374",2014,"April",4,804.537634408602
"375",2015,"April",4,666.3125
"376",2016,"April",4,693.390243902439
"377",2017,"April",4,690.491666666667
"378",2018,"April",4,696.831632653061
"379",2019,"April",4,676.230442176871
"380",2009,"August",4,631.833333333333
"381",2010,"August",4,616.372685185185
"382",2011,"August",4,654.088235294118
"383",2012,"August",4,585.62962962963
"384",2013,"August",4,436.8203125
"385",2014,"August",4,587.843055555556
"386",2015,"August",4,593.992521367521
"387",2016,"August",4,691.979166666667
"388",2017,"August",4,724.67735042735
"389",2018,"August",4,595.697916666667
"390",2009,"December",4,801.62962962963
"391",2010,"December",4,568.684895833333
"392",2011,"December",4,438.980392156863
"393",2012,"December",4,648.094907407407
"394",2013,"December",4,609.613505747126
"395",2014,"December",4,674.669270833333
"396",2015,"December",4,809.348958333333
"397",2016,"December",4,449.090811965812
"398",2017,"December",4,592.992021276596
"399",2018,"December",4,635.371732026144
"400",2010,"February",4,570.94212962963
"401",2011,"February",4,653.289215686274
"402",2012,"February",4,609.8125
"403",2013,"February",4,638.560185185185
"404",2014,"February",4,624.631510416667
"405",2015,"February",4,615.22337962963
"406",2016,"February",4,656.90873015873
"407",2017,"February",4,489.150219298246
"408",2018,"February",4,491.814236111111
"409",2019,"February",4,527.643229166667
"410",2010,"January",4,579.909722222222
"411",2011,"January",4,573.56862745098
"412",2012,"January",4,598.055555555556
"413",2013,"January",4,471.448529411765
"414",2014,"January",4,518.680989583333
"415",2015,"January",4,482.782828282828
"416",2016,"January",4,585.380341880342
"417",2017,"January",4,591.928728070175
"418",2018,"January",4,617.802536231884
"419",2019,"January",4,403.606292517007
"420",2009,"July",4,510.203431372549
"421",2010,"July",4,434.8125
"422",2011,"July",4,631.316176470588
"423",2012,"July",4,725.828703703704
"424",2013,"July",4,652.029411764706
"425",2014,"July",4,699.96875
"426",2015,"July",4,494.41875
"427",2016,"July",4,622.931547619048
"428",2017,"July",4,669.326923076923
"429",2018,"July",4,617.36
"430",2019,"July",4,601.082547169811
"431",2009,"June",4,701.845588235294
"432",2010,"June",4,732.363425925926
"433",2011,"June",4,529.843137254902
"434",2012,"June",4,569.148148148148
"435",2013,"June",4,601.007352941176
"436",2014,"June",4,573.890151515152
"437",2015,"June",4,549.740853658537
"438",2016,"June",4,507.994186046512
"439",2017,"June",4,448.958333333333
"440",2018,"June",4,554.173611111111
"441",2019,"June",4,539.456730769231
"442",2010,"March",4,697.180555555556
"443",2011,"March",4,757.134803921569
"444",2012,"March",4,511.729166666667
"445",2013,"March",4,693.099537037037
"446",2014,"March",4,674.756720430108
"447",2015,"March",4,717.07545045045
"448",2016,"March",4,760.36282306163
"449",2017,"March",4,535.03311965812
"450",2018,"March",4,505.750868055556
"451",2019,"March",4,621.5575
"452",2009,"May",4,669.744444444444
"453",2010,"May",4,605.756944444444
"454",2011,"May",4,645.105392156863
"455",2012,"May",4,802.555555555556
"456",2013,"May",4,553.916666666667
"457",2014,"May",4,429.365277777778
"458",2015,"May",4,597.416666666667
"459",2016,"May",4,670.065891472868
"460",2017,"May",4,658.983552631579
"461",2018,"May",4,697.701388888889
"462",2019,"May",4,506.022875816993
"463",2009,"November",4,637.613425925926
"464",2010,"November",4,670.669117647059
"465",2011,"November",4,727.468137254902
"466",2012,"November",4,468.534722222222
"467",2013,"November",4,679.305555555556
"468",2014,"November",4,385.388888888889
"469",2015,"November",4,612.657051282051
"470",2016,"November",4,733.403846153846
"471",2017,"November",4,659.820652173913
"472",2018,"November",4,438.357026143791
"473",2009,"October",4,447.261574074074
"474",2010,"October",4,634.453431372549
"475",2011,"October",4,652.208333333333
"476",2012,"October",4,761.898148148148
"477",2013,"October",4,825.550925925926
"478",2014,"October",4,614.286616161616
"479",2015,"October",4,490.344565217391
"480",2016,"October",4,538.102083333333
"481",2017,"October",4,688.636111111111
"482",2018,"October",4,663.874198717949
"483",2009,"September",4,721.245098039216
"484",2010,"September",4,467.578406169666
"485",2011,"September",4,351.642156862745
"486",2012,"September",4,692.360294117647
"487",2013,"September",4,664.045138888889
"488",2014,"September",4,607.291666666667
"489",2015,"September",4,678.022916666667
"490",2016,"September",4,468.233134920635
"491",2017,"September",4,525.673958333333
"492",2018,"September",4,628.903594771242
"493",2010,"April",5,444.710648148148
"494",2011,"April",5,698.183823529412
"495",2012,"April",5,836.657407407407
"496",2013,"April",5,840.261574074074
"497",2014,"April",5,704.3671875
"498",2015,"April",5,538.547453703704
"499",2016,"April",5,722.44512195122
"500",2017,"April",5,698.158333333333
"501",2018,"April",5,701.293367346939
"502",2019,"April",5,743.121598639456
"503",2009,"August",5,684.629901960784
"504",2010,"August",5,648.078703703704
"505",2011,"August",5,719.448529411765
"506",2012,"August",5,435.615740740741
"507",2013,"August",5,642.247395833333
"508",2014,"August",5,593.240277777778
"509",2015,"August",5,594.994791666667
"510",2016,"August",5,819.866071428571
"511",2017,"August",5,605.084401709402
"512",2018,"August",5,493.113782051282
"513",2009,"December",5,542.837962962963
"514",2010,"December",5,497.5
"515",2011,"December",5,679.446078431373
"516",2012,"December",5,695.668981481482
"517",2013,"December",5,637.558908045977
"518",2014,"December",5,739.838541666667
"519",2015,"December",5,676.592479674797
"520",2016,"December",5,630.613247863248
"521",2017,"December",5,671.448581560284
"522",2018,"December",5,687.110294117647
"523",2010,"February",5,732.555555555556
"524",2011,"February",5,412.517156862745
"525",2012,"February",5,446.356481481481
"526",2013,"February",5,637.9375
"527",2014,"February",5,648.145833333333
"528",2015,"February",5,641.153935185185
"529",2016,"February",5,730.048611111111
"530",2017,"February",5,368.329954954955
"531",2018,"February",5,613.026041666667
"532",2019,"February",5,573.3515625
"533",2010,"January",5,571.451388888889
"534",2011,"January",5,587.122549019608
"535",2012,"January",5,620.875
"536",2013,"January",5,478.862745098039
"537",2014,"January",5,434.798177083333
"538",2015,"January",5,615.176767676768
"539",2016,"January",5,616.671875
"540",2017,"January",5,567.080128205128
"541",2018,"January",5,635.616847826087
"542",2019,"January",5,454.995833333333
"543",2009,"July",5,440.203431372549
"544",2010,"July",5,643.180555555556
"545",2011,"July",5,583.083333333333
"546",2012,"July",5,735.849537037037
"547",2013,"July",5,819.066176470588
"548",2014,"July",5,532.0625
"549",2015,"July",5,511.037393162393
"550",2016,"July",5,549.412601626016
"551",2017,"July",5,703.732905982906
"552",2018,"July",5,625.9975
"553",2019,"July",5,710.778301886792
"554",2009,"June",5,782.769607843137
"555",2010,"June",5,462.092592592593
"556",2011,"June",5,422.30637254902
"557",2012,"June",5,598.462962962963
"558",2013,"June",5,615.357843137255
"559",2014,"June",5,627.055989583333
"560",2015,"June",5,693.568089430894
"561",2016,"June",5,420.528100775194
"562",2017,"June",5,559.314692982456
"563",2018,"June",5,578.428819444444
"564",2019,"June",5,549.759803921569
"565",2010,"March",5,784.979166666667
"566",2011,"March",5,589.286764705882
"567",2012,"March",5,717.280092592593
"568",2013,"March",5,707.550925925926
"569",2014,"March",5,665.055107526882
"570",2015,"March",5,691.345720720721
"571",2016,"March",5,606.395233366435
"572",2017,"March",5,416.146367521367
"573",2018,"March",5,644.045138888889
"574",2019,"March",5,648.3325
"575",2009,"May",5,707.411111111111
"576",2010,"May",5,642.715277777778
"577",2011,"May",5,665.166666666667
"578",2012,"May",5,518.37962962963
"579",2013,"May",5,407.111111111111
"580",2014,"May",5,561.229166666667
"581",2015,"May",5,555.879385964912
"582",2016,"May",5,702.68023255814
"583",2017,"May",5,733.035087719298
"584",2018,"May",5,609.182291666667
"585",2019,"May",5,439.580065359477
"586",2009,"November",5,648.587962962963
"587",2010,"November",5,788.303921568627
"588",2011,"November",5,487.330882352941
"589",2012,"November",5,732.076388888889
"590",2013,"November",5,430.198611111111
"591",2014,"November",5,621.313131313131
"592",2015,"November",5,584.751096491228
"593",2016,"November",5,503.135683760684
"594",2017,"November",5,533.422101449275
"595",2018,"November",5,617.00408496732
"596",2009,"October",5,591.094907407407
"597",2010,"October",5,647.737745098039
"598",2011,"October",5,702.938725490196
"599",2012,"October",5,818.541666666667
"600",2013,"October",5,594.199074074074
"601",2014,"October",5,482.839262187088
"602",2015,"October",5,584.632291666667
"603",2016,"October",5,607.0875
"604",2017,"October",5,623.82962962963
"605",2018,"October",5,763.561274509804
"606",2009,"September",5,509.492647058824
"607",2010,"September",5,366.34554973822
"608",2011,"September",5,614.764705882353
"609",2012,"September",5,661.745098039216
"610",2013,"September",5,626.694444444444
"611",2014,"September",5,713.511363636364
"612",2015,"September",5,568.734375
"613",2016,"September",5,600.081349206349
"614",2017,"September",5,538.510416666667
"615",2018,"September",5,647.192810457516
"616",2010,"April",6,683.9375
"617",2011,"April",6,715.367647058824
"618",2012,"April",6,419.900462962963
"619",2013,"April",6,614.80787037037
"620",2014,"April",6,602.266927083333
"621",2015,"April",6,488.577546296296
"622",2016,"April",6,656.339430894309
"623",2017,"April",6,724.841666666667
"624",2018,"April",6,801.943027210884
"625",2019,"April",6,619.85119047619
"626",2009,"August",6,682.848039215686
"627",2010,"August",6,795.598039215686
"628",2011,"August",6,466.933823529412
"629",2012,"August",6,643.712962962963
"630",2013,"August",6,643.861979166667
"631",2014,"August",6,599.280172413793
"632",2015,"August",6,598.08125
"633",2016,"August",6,633.477182539683
"634",2017,"August",6,435.206196581197
"635",2018,"August",6,565.139705882353
"636",2009,"December",6,515.145833333333
"637",2010,"December",6,677.341145833333
"638",2011,"December",6,716.867647058824
"639",2012,"December",6,761.761574074074
"640",2013,"December",6,809.031609195402
"641",2014,"December",6,608.572916666667
"642",2015,"December",6,629.625
"643",2016,"December",6,657.8
"644",2017,"December",6,732.395390070922
"645",2018,"December",6,639.576666666667
"646",2010,"February",6,526.50462962963
"647",2011,"February",6,470.294117647059
"648",2012,"February",6,669.835648148148
"649",2013,"February",6,623.472222222222
"650",2014,"February",6,630.63671875
"651",2015,"February",6,692.280092592593
"652",2016,"February",6,643.365079365079
"653",2017,"February",6,540.877314814815
"654",2018,"February",6,634.233506944444
"655",2019,"February",6,528.120659722222
